,text,cleaned_text,extracted_entities
0,"@RepValDemings @maddogpac Its. By. Design.
They aren't even hiding it anymore","  Its. By. Design.
They aren't even hiding it anymore",
1,RT @RepValDemings: The president’s plan to hold mass rallies in Florida and elsewhere as we experience a resurgence in COVID cases is irres…, The president’s plan to hold mass rallies in Florida and elsewhere as we experience a resurgence in COVID cases is irres…,"[('Florida', 'LOCATION'), ('COVID', 'VIRUS')]"
2,RT @RepValDemings: Tulsa was the site of the worst racist violence in American history. The president’s speech there on Juneteenth is a mes…, Tulsa was the site of the worst racist violence in American history. The president’s speech there on Juneteenth is a mes…,"[('America', 'COUNTRY'), ('America', 'COUNTRY'), ('Tulsa', 'LOCATION')]"
3,@RepValDemings Based on what...?, Based on what...?,
4,@RepValDemings You are a moron .. so it’s alright to have protest and gatherings because to dumb ass people feeling… https://t.co/ftIwn1TJh8, You are a moron .. so it’s alright to have protest and gatherings because to dumb ass people feeling… ,
5,@RepValDemings Not does @GovRonDeSantis care.  #racistron only cares about you if you donate to his campaign or if… https://t.co/i7SKFAcUmR, Not does  care.   only cares about you if you donate to his campaign or if… ,
6,"RT @OrlandoPolice: ARRESTED: @OrlandoPolice  arrested today Marcus Deion Brown, 36 years of age. Brown is the suspect from the fatal crash…"," ARRESTE   arrested today Marcus Deion Brown, 36 years of age. Brown is the suspect from the fatal crash…","[('Marcus Deion Brown', 'PERSON')]"
7,@RepValDemings U should be cheering! Deplorable and the President killing themselves with COVID. Guess ur concerned… https://t.co/zRNypjSBw2, U should be cheering! Deplorable and the President killing themselves with COVID. Guess ur concerned… ,"[('COVID', 'VIRUS')]"
8,@RepValDemings We are just hosting protests., We are just hosting protests.,
9,"RT @RepValDemings: Unfortunately, Florida is experiencing a new surge in COVID-19 cases. I urge you to do everything you can to protect you…"," Unfortunately, Florida is experiencing a new surge in COVID-19 cases. I urge you to do everything you can to protect you…","[('COVID-19', 'VIRUS'), ('Florida', 'LOCATION'), ('COVID', 'VIRUS')]"
10,"@RepValDemings Dead people cant vote. At least they shouldnt be able to. However, with Trump in charge...who knows?
."," Dead people cant vote. At least they shouldnt be able to. However, with Trump in charge...who knows?
.","[('Trump', 'CANDIDATE')]"
11,RT @RepValDemings: The president and the attorney general have a direct responsibility to intervene and put the full weight of the White Ho…, The president and the attorney general have a direct responsibility to intervene and put the full weight of the White Ho…,
12,@RepValDemings You don’t decide our future.  We do., You don’t decide our future.  We do.,
13,@RepValDemings This is the look of pure Evil https://t.co/xGCNwR5Uoa, This is the look of pure Evil ,
14,RT @RepValDemings: Today would be a good day for the president to announce a comprehensive national testing plan. https://t.co/YA80uQ5Qbm, Today would be a good day for the president to announce a comprehensive national testing plan. ,
15,@RepValDemings Tell this crap to the bums in Seattle., Tell this crap to the bums in Seattle.,"[('Seattle', 'LOCATION')]"
16,"RT @RepValDemings: “Unfortunately, we know that foreign actors have historically sought to exploit tensions in American communities…

""we d…"," “Unfortunately, we know that foreign actors have historically sought to exploit tensions in American communities…

""we d…","[('America', 'COUNTRY'), ('America', 'COUNTRY')]"
17,@RepValDemings Are you serious???? OMG!!!, Are you serious???? OMG!!!,
18,RT @RepValDemings: Today would be a good day for the president to announce a comprehensive national testing plan., Today would be a good day for the president to announce a comprehensive national testing plan.,
19,@RepValDemings Riots are safer?  You idiot, Riots are safer?  You idiot,
20,@RepValDemings You're just mad that nobody will be looting or burning buildings after the rally., You're just mad that nobody will be looting or burning buildings after the rally.,
21,@RepValDemings Are you being serious with me right now?, Are you being serious with me right now?,
22,@RepValDemings Just change the name. We're going to a Trump Riot. All good now? Where was Fauci during the riots BT… https://t.co/FC2UzBfOo0, Just change the name. We're going to a Trump Riot. All good now? Where was Fauci during the riots BT… ,"[('Trump', 'CANDIDATE')]"
23,"@RepValDemings He is inciting violence.  Hopefully, protesters will be peaceful and shame him and his supporters (t… https://t.co/iJKDQYFshv"," He is inciting violence.  Hopefully, protesters will be peaceful and shame him and his supporters (t… ",
24,@RepValDemings Murders should be illegal. Armed robbery should be illegal. Sales of illegal narcotics should be ill… https://t.co/7mHsWGFEaa, Murders should be illegal. Armed robbery should be illegal. Sales of illegal narcotics should be ill… ,
